date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2009-05-15,23,18,0.0,14.0,6,6,54,12:07 AM,10:29 AM,05:37 AM,07:32 PM,11,21,22,21,14,8,54,0.0,1013,23,10,142,8
2009-05-16,26,19,0.0,14.0,6,6,47,12:39 AM,11:27 AM,05:36 AM,07:33 PM,9,22,22,22,26,0,42,0.0,1013,26,10,152,14
2009-05-17,26,20,0.0,14.0,6,6,39,01:09 AM,12:24 PM,05:36 AM,07:34 PM,10,25,25,24,26,0,40,0.0,1013,26,10,193,13
2009-05-18,28,21,0.0,14.0,6,6,32,01:37 AM,01:22 PM,05:35 AM,07:35 PM,9,26,26,25,20,0,36,0.0,1010,28,10,183,10
2009-05-19,25,18,0.0,14.0,6,6,25,02:03 AM,02:20 PM,05:34 AM,07:35 PM,12,22,22,22,22,1,56,0.0,1010,25,10,211,14
2009-05-20,22,16,0.0,14.0,5,5,17,02:30 AM,03:22 PM,05:34 AM,07:36 PM,14,20,21,20,12,4,70,0.0,1010,22,10,239,9
2009-05-21,21,16,0.0,14.0,5,5,10,02:59 AM,04:26 PM,05:33 AM,07:37 PM,14,19,20,19,18,9,70,0.0,1010,21,10,214,13
2009-05-22,22,16,0.0,14.1,5,5,3,03:32 AM,05:34 PM,05:33 AM,07:38 PM,13,20,21,20,13,2,65,0.0,1013,22,10,181,10
2009-05-23,22,15,0.0,14.1,5,5,0,04:10 AM,06:45 PM,05:32 AM,07:38 PM,14,20,20,20,11,1,70,0.0,1013,22,10,246,9
2009-05-24,21,15,0.0,14.1,5,5,0,04:57 AM,07:57 PM,05:32 AM,07:39 PM,14,18,18,18,15,11,79,0.0,1012,21,10,226,12
2009-05-25,22,16,0.0,14.1,5,5,4,05:53 AM,09:06 PM,05:31 AM,07:40 PM,15,19,20,19,16,8,77,0.0,1010,22,10,221,12
2009-05-26,22,17,0.0,14.1,5,5,11,06:57 AM,10:06 PM,05:31 AM,07:40 PM,15,20,21,20,14,2,72,0.0,1008,22,10,195,11
2009-05-27,24,16,0.0,14.1,5,5,19,08:09 AM,10:58 PM,05:30 AM,07:41 PM,12,21,22,21,21,2,57,0.0,1009,24,10,141,15
2009-05-28,23,16,0.0,14.1,5,5,26,09:22 AM,11:41 PM,05:30 AM,07:42 PM,10,19,20,19,21,0,54,0.0,1011,23,10,170,15
